age,multiplier
0,0.635
1,0.635
2,0.635
3,0.635
4,0.635
5,0.635
6,0.635
7,0.635
8,0.635
9,0.635
10,0.635
11,0.635
12,0.635
13,0.635
14,0.635
15,0.635
16,0.635
17,0.635
18,0.762
19,0.762
20,0.762
21,1.0
22,1.0
23,1.0
24,1.0
25,1.004
26,1.024
27,1.048
28,1.087
29,1.119
30,1.135
31,1.159
32,1.183
33,1.198
34,1.214
35,1.23
36,1.254
37,1.278
38,1.302
39,1.317
40,1.333
41,1.357
42,1.397
43,1.429
44,1.468
45,1.516
46,1.579
47,1.651
48,1.683
49,1.714
50,1.762
51,1.817
52,1.873
53,1.937
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
