StateCode,IssuerId,PlanId,Age,IndividualRate,Tobacco,RatingAreaId,BusinessYear
MA,10000,10000MA00010001-00,18,243.84,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,19,243.84,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,20,243.84,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,21,320.0,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,22,320.0,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,23,320.0,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,24,320.0,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,25,321.28,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,26,327.68,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,27,335.36,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,28,347.84,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,29,358.08,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,30,363.2,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,31,370.88,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,32,378.56,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,33,383.36,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,34,388.48,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,35,393.6,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,36,401.28,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,37,408.96,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,38,416.64,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,39,421.44,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,40,426.56,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,41,434.24,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,42,447.04,Tobacco User/Non-Tobacco User,Rating Area 1,2025
MA,10000,10000MA00010001-00,43,457.28,Tobacco User/Non-Tobacco User,Rating Area 1,2025
